code,location,state,country
"JHR01","Pulau Aur dan Pulau Pemanggil", "Johor", "Malaysia"
"JHR02","Johor Bahru, Kota Tinggi, Mersing", "Johor", "Malaysia"
"JHR03","Kluang, Pontian", "Johor", "Malaysia"
"JHR04","Batu Pahat, Muar, Segamat, Gemas Johor", "Johor", "Malaysia"
"KDH01","Kota Setar, Kubang Pasu, Pokok Sena (Daerah Kecil)", "Kedah", "Malaysia"
"KDH02","Kuala Muda, Yan, Pendang", "Kedah", "Malaysia"
"KDH03","Padang Terap, Sik", "Kedah", "Malaysia"
"KDH04","Baling", "Kedah", "Malaysia"
"KDH05","Bandar Baharu, Kulim", "Kedah", "Malaysia"
"KDH06","Langkawi", "Kedah", "Malaysia"
"KDH07","Puncak Gunung Jerai", "Kedah", "Malaysia"
"KTN01","Bachok, Kota Bharu, Machang, Pasir Mas, Pasir Puteh, Tanah Merah, Tumpat, Kuala Krai, Mukim Chiku", "Kelantan", "Malaysia"
"KTN03","Gua Musang (Daerah Galas Dan Bertam), Jeli", "Kelantan", "Malaysia"
"MLK01","SELURUH NEGERI MELAKA", "Melaka", "Malaysia"
"NGS01","Tampin, Jempol", "Negeri Sembilan", "Malaysia"
"NGS02","Jelebu, Kuala Pilah, Port Dickson, Rembau, Seremban", "Negeri Sembilan", "Malaysia"
"PHG01","Pulau Tioman", "Pahang", "Malaysia"
"PHG02","Kuantan, Pekan, Rompin, Muadzam Shah", "Pahang", "Malaysia"
"PHG03","Jerantut, Temerloh, Maran, Bera, Chenor, Jengka", "Pahang", "Malaysia"
"PHG04","Bentong, Lipis, Raub", "Pahang", "Malaysia"
"PHG05","Genting Sempah, Janda Baik, Bukit Tinggi", "Pahang", "Malaysia"
"PHG06","Cameron Highlands, Genting Higlands, Bukit Fraser", "Pahang", "Malaysia"
"PLS01","Kangar, Padang Besar, Arau", "Perlis", "Malaysia"
"PNG01","Seluruh Negeri Pulau Pinang", "Penang", "Malaysia"
"PRK01","Tapah, Slim River, Tanjung Malim", "Perak", "Malaysia"
"PRK02","Kuala Kangsar, Sg. Siput (Daerah Kecil), Ipoh, Batu Gajah, Kampar", "Perak", "Malaysia"
"PRK03","Lenggong, Pengkalan Hulu, Grik", "Perak", "Malaysia"
"PRK04","Temengor, Belum", "Perak", "Malaysia"
"PRK05","Kg Gajah, Teluk Intan, Bagan Datuk, Seri Iskandar, Beruas, Parit, Lumut, Sitiawan, Pulau Pangkor", "Perak", "Malaysia"
"PRK06","Selama, Taiping, Bagan Serai, Parit Buntar", "Perak", "Malaysia"
"PRK07","Bukit Larut", "Perak", "Malaysia"
"SBH01","Bahagian Sandakan (Timur), Bukit Garam, Semawang, Temanggong, Tambisan, Bandar Sandakan, Sukau", "Sabah", "Malaysia"
"SBH02","Beluran, Telupid, Pinangah, Terusan, Kuamut, Bahagian Sandakan (Barat)", "Sabah", "Malaysia"
"SBH03","Lahad Datu, Silabukan, Kunak, Sahabat, Semporna, Tungku, Bahagian Tawau (Timur)", "Sabah", "Malaysia"
"SBH04","Bandar Tawau, Balong, Merotai, Kalabakan, Bahagian Tawau (Barat)", "Sabah", "Malaysia"
"SBH05","Kudat, Kota Marudu, Pitas, Pulau Banggi, Bahagian Kudat", "Sabah", "Malaysia"
"SBH06","Gunung Kinabalu", "Sabah", "Malaysia"
"SBH07","Kota Kinabalu, Ranau, Kota Belud, Tuaran, Penampang, Papar, Putatan, Bahagian Pantai Barat", "Sabah", "Malaysia"
"SBH08","Pensiangan, Keningau, Tambunan, Nabawan, Bahagian Pendalaman (Atas)", "Sabah", "Malaysia"
"SBH09","Beaufort, Kuala Penyu, Sipitang, Tenom, Long Pa Sia, Membakut, Weston, Bahagian Pendalaman (Bawah)", "Sabah", "Malaysia"
"SGR01","Gombak, Petaling, Sepang, Hulu Langat, Hulu Selangor, S.Alam", "Selangor", "Malaysia"
"SGR02","Kuala Selangor, Sabak Bernam", "Selangor", "Malaysia"
"SGR03","Klang, Kuala Langat", "Selangor", "Malaysia"
"SWK01","Limbang, Lawas, Sundar, Trusan", "Sarawak", "Malaysia"
"SWK02","Miri, Niah, Bekenu, Sibuti, Marudi", "Sarawak", "Malaysia"
"SWK03","Pandan, Belaga, Suai, Tatau, Sebauh, Bintulu", "Sarawak", "Malaysia"
"SWK04","Sibu, Mukah, Dalat, Song, Igan, Oya, Balingian, Kanowit, Kapit", "Sarawak", "Malaysia"
"SWK05","Sarikei, Matu, Julau, Rajang, Daro, Bintangor, Belawai", "Sarawak", "Malaysia"
"SWK06","Lubok Antu, Sri Aman, Roban, Debak, Kabong, Lingga, Engkelili, Betong, Spaoh, Pusa, Saratok", "Sarawak", "Malaysia"
"SWK07","Serian, Simunjan, Samarahan, Sebuyau, Meludam", "Sarawak", "Malaysia"
"SWK08","Kuching, Bau, Lundu, Sematan", "Sarawak", "Malaysia"
"SWK09","Zon Khas (Kampung Patarikan)", "Sarawak", "Malaysia"
"TRG01","Kuala Terengganu, Marang, Kuala Nerus", "Terengganu", "Malaysia"
"TRG02","Besut, Setiu", "Terengganu", "Malaysia"
"TRG03","Hulu Terengganu", "Terengganu", "Malaysia"
"TRG04","Dungun, Kemaman", "Terengganu", "Malaysia"
"WLY01","Kuala Lumpur, Putrajaya", "Wilayah Persekutuan", "Malaysia"
"WLY02","Labuan", "Wilayah Persekutuan", "Malaysia"